着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),日付,東西
8,6,11,トライアゲイン,牡3,56,三浦皇成,2:31.1,1.3/4,**,12-11-12-11,34.2,79.0,16,496(+12),,,,和田正道,ノースヒルズ,,201405010310,東
9,3,5,ロワジャルダン,牡3,56,蛯名正義,2:31.1,アタマ,**,5-5-8-7,34.4,22.7,8,490(-6),,,,戸田博文,社台レースホース,,201405010310,東
10,1,2,タルトオポム,牡3,56,横山和生,2:31.1,ハナ,**,8-8-8-11,34.2,16.5,6,442(-4),,,,尾形和幸,窪田康志,,201405010310,東
11,8,15,ジョウノムサシ,牡3,56,ベリー,2:31.1,ハナ,**,15-14-12-11,34.2,36.4,12,482(+4),,,,加藤征弘,小川義勝,,201405010310,東
12,5,10,マイネリベルタス,牝3,54,柴田大知,2:31.6,3,**,2-3-5-4,35.2,38.7,13,414(-4),,,,宮本博,サラブレッドクラブ・ラフィアン,,201405010310,西
13,3,6,レッドアルゴ,牡3,56,リスポリ,2:31.6,クビ,**,1-1-1-1,35.5,24.0,9,522(-12),,,,友道康夫,東京ホースレーシング,,201405010310,西
14,7,14,ストロベリーキング,牡3,56,高倉稜,2:31.6,ハナ,**,16-16-16-15,34.4,21.9,7,472(+2),,,,高橋文雅,田頭勇貴,,201405010310,東
15,4,8,ナスノアオバ,牡3,56,大野拓弥,2:32.1,3,**,8-8-8-10,35.3,34.7,10,528(+4),,,,小笠倫弘,那須野牧場,,201405010310,東
16,6,12,クインズチャイルド,牡3,56,田中勝春,2:32.1,クビ,**,14-14-15-15,34.9,47.9,15,474(-4),,,,伊藤圭三,クイーンズ・ランチ,,201405010310,東
1,5,10,レーザーバレット,牡6,57.5,横山典弘,1:35.6,,**,5-5,36.1,9.8,5,476(0),,,,萩原清,前田葉子,"1,825.7",201405010311,東
2,3,6,パワースポット,牝6,53,石橋脩,1:35.8,1.1/4,**,15-14,35.7,13.0,6,472(+10),,,,菊沢隆徳,グランド牧場,730.2,201405010311,東
3,5,9,ブロードソード,牡4,55,三浦皇成,1:36.0,1,**,3-3,36.7,6.7,3,494(-4),,,,松田国英,キャロットファーム,455.1,201405010311,西
4,2,3,コスモイーチタイム,牡6,54,柴田大知,1:36.0,アタマ,**,10-9,36.2,59.6,11,462(+2),,,,黒岩陽一,ビッグレッドファーム,270.0,201405010311,東
