着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),日付,東西
11,2,3,メランコリア,牝4,55,和田竜二,1:12.8,アタマ,**,9-9,36.7,27.3,11,478(0),,,,蛯名利弘,ミルファーム,,201606020312,東
12,8,15,ヒカルランナー,牡7,57,岩部純二,1:13.0,1.1/4,**,14-14,36.6,319.1,15,520(-4),,,,柄崎孝,安蒜一修,,201606020312,東
13,5,9,ディプロムソング,牡5,57,石橋脩,1:13.0,アタマ,**,14-13,36.6,22.2,8,498(+2),,,,的場均,林正道,,201606020312,東
14,6,12,トーセンミッション,牡4,57,横山典弘,1:13.2,1.1/4,**,12-14,36.9,26.8,9,514(-6),,,,菅原泰夫,島川隆哉,,201606020312,東
15,7,14,ボルゲーゼ,牡4,57,柴山雄一,1:13.2,ハナ,**,12-12,36.9,29.1,12,480(-4),,,,木村哲也,サンデーレーシング,,201606020312,東
取,1,1,ヒカリマサムネ,牡6,57,柴田大知,,,**,,,---,,計不,,,,池上昌弘,ヒカリクラブ,,201606020312,東
1,7,11,ブチコ,牝4,54,ルメール,1:53.0,,**,4-5-4-4,37.6,2.3,1,478(-6),,,,音無秀孝,金子真人ホールディングス,"1,849.4",201606020410,西
2,5,8,ブライトアイディア,牡6,55,戸崎圭太,1:53.5,3,**,3-3-3-3,38.4,13.9,5,522(-6),,,,宮徹,小川勲,738.4,201606020410,西
3,8,13,セトノプロミス,牡6,53,吉田豊,1:53.6,1/2,**,7-5-7-6,38.0,284.8,12,500(+4),,,,鈴木孝志,難波澄子,464.2,201606020410,西
4,4,6,ポムフィリア,牝4,52,大野拓弥,1:53.6,クビ,**,6-5-4-4,38.3,62.2,10,462(+4),,,,高橋裕,ディアレストクラブ,270.0,201606020410,東
5,3,4,トラキチシャチョウ,牡5,55,勝浦正樹,1:53.7,クビ,**,14-14-11-10,37.2,7.6,3,514(+8),,,,目野哲也,ミキハウスＨＫサービス,182.0,201606020410,西
6,8,14,ダノングッド,牡4,56,岩田康誠,1:53.8,3/4,**,1-1-1-2,39.0,9.9,4,502(-2),,,,村山明,ダノックス,,201606020410,西
7,5,7,セイカフォルテ,牡8,53,柴田大知,1:53.8,クビ,**,8-8-7-6,38.1,41.7,8,460(0),,,,相沢郁,久米大,,201606020410,東
8,7,12,トウショウギフト,牡7,52,松岡正海,1:53.8,ハナ,**,11-11-9-9,37.7,313.5,13,538(-6),,,,萱野浩二,トウショウ産業,,201606020410,東
9,2,2,リッカルド,セ5,56,蛯名正義,1:53.9,1/2,**,2-2-2-1,39.1,2.7,2,500(-4),,,,黒岩陽一,岡田牧雄,,201606020410,東
10,1,1,レッドルーファス,牡6,56,柴山雄一,1:54.0,クビ,**,4-4-4-6,38.7,33.1,7,518(-6),,,,藤沢和雄,東京ホースレーシング,,201606020410,東
11,6,10,タイセイドリーム,牡6,55,内田博幸,1:54.0,ハナ,**,8-8-9-10,37.8,60.0,9,540(+2),,,,矢作芳人,田中成奉,,201606020410,西
12,4,5,メモリーシャルマン,牝7,51,石川裕紀,1:54.1,1/2,**,13-12-13-12,37.4,70.3,11,518(-6),,,,湯窪幸雄,橋元幸次,,201606020410,西
13,6,9,グレイレジェンド,牡8,53,江田照男,1:54.8,4,**,10-10-11-12,38.3,345.9,14,468(+12),,,,松永幹夫,小野博郷,,201606020410,西
14,3,3,ニットウビクトリー,牡7,54,柴田善臣,1:55.2,2.1/2,**,11-12-14-14,38.3,21.4,6,500(+6),,,,高橋文雅,日東牧場,,201606020410,東
1,8,11,マカヒキ,牡3,56,ルメール,1:59.9,,**,12-9-9-8,33.6,2.6,2,496(0),,,,友道康夫,金子真人ホールディングス,"5,485.4",201606020411,西
2,7,10,リオンディーズ,牡3,56,Ｍ．デム,1:59.9,クビ,**,4-4-4-2,34.4,1.9,1,500(+4),,,,角居勝彦,キャロットファーム,"2,224.4",201606020411,西
3,4,4,エアスピネル,牡3,56,武豊,2:00.2,2,**,5-5-5-4,34.4,4.2,3,484(0),,,,笹田和秀,ラッキーフィールド,"1,412.2",201606020411,西
4,3,3,タイセイサミット,牡3,56,内田博幸,2:01.1,5,**,5-6-5-6,35.2,20.8,4,490(-4),,,,矢作芳人,田中成奉,810.0,201606020411,西
5,1,1,アドマイヤエイカン,牡3,56,岩田康誠,2:01.2,3/4,**,8-8-8-9,35.0,39.1,5,496(-6),,,,須貝尚介,近藤利一,540.0,201606020411,西
6,8,12,エディクト,牡3,56,大野拓弥,2:01.4,1.1/4,**,11-12-11-10,34.7,415.6,12,498(-2),,,,二ノ宮敬,窪田康志,,201606020411,東
7,6,8,イマジンザット,牡3,56,戸崎圭太,2:01.6,1.1/4,**,7-7-7-6,35.5,58.1,6,420(-8),,,,斎藤誠,林正道,,201606020411,東
8,7,9,モーゼス,牡3,56,蛯名正義,2:02.1,3,**,3-3-2-2,37.1,131.4,7,508(0),,,,大江原哲,坂本肇,,201606020411,東
9,5,6,モウカッテル,牡3,56,三浦皇成,2:02.1,アタマ,**,8-9-10-11,35.5,321.6,11,450(+2),,,,森秀行,田中邦彦,,201606020411,西
10,2,2,シャララ,牝3,54,江田照男,2:02.7,3.1/2,**,2-2-3-4,37.5,189.0,8,458(-2),,,,田村康仁,ＨｉｍＲｏｃｋＲａｃｉｎｇ,,201606020411,東
11,6,7,ケンホファヴァルト,牡3,56,小崎綾也,2:02.8,クビ,**,1-1-1-1,38.0,282.6,10,444(-6),,,,森秀行,中西宏彰,,201606020411,西
12,5,5,ヴィガーエッジ,牡3,56,横山典弘,2:05.8,大,**,10-11-11-12,39.0,198.8,9,482(-4),,,,池上昌和,島川隆哉,,201606020411,東
1,4,4,ロジダーリング,牡4,57,大野拓弥,1:34.4,,**,1-1-1,34.4,2.7,1,464(+2),,,,新開幸一,久米田正明,"1,050.0",201606020412,東
2,4,5,スターファセット,牝4,55,柴山雄一,1:34.6,1.1/4,**,5-4-5,34.3,42.7,10,452(+6),,,,中川公成,吉田照哉,340.0,201606020412,東
2,6,8,サトノアッシュ,牡4,57,田辺裕信,1:34.6,同着,**,2-2-2,34.5,7.5,4,484(-2),,,,中竹和也,里見治,340.0,201606020412,西
4,2,2,パワースラッガー,牡5,57,武豊,1:34.8,1.1/4,**,6-7-7,34.3,5.8,3,484(0),,,,菊川正達,丸岡啓一,160.0,201606020412,東
5,8,13,ヘイジームーン,牝5,55,ルメール,1:34.8,アタマ,**,11-10-10,34.0,3.8,2,482(0),,,,戸田博文,窪田康志,105.0,201606020412,東
6,1,1,ロングシャドウ,牡6,57,内田博幸,1:35.0,1,**,3-4-4,34.7,93.3,11,500(0),,,,宗像義忠,飯塚知一,,201606020412,東
7,5,7,ジャポニカーラ,牝4,55,横山典弘,1:35.1,1/2,**,9-9-8,34.4,25.2,8,408(+4),,,,勢司和浩,シルクレーシング,,201606020412,東
8,3,3,ベストドリーム,牡5,57,岩田康誠,1:35.3,1.1/4,**,13-13-13,34.0,17.6,7,466(-8),,,,中川公成,堀口晴男,,201606020412,東
9,7,10,ダイワミランダ,牝4,55,蛯名正義,1:35.3,アタマ,**,3-2-2,35.1,12.1,5,504(+10),,,,国枝栄,大城敬三,,201606020412,東
10,6,9,レオフラッパー,牝4,55,勝浦正樹,1:35.5,1,**,10-12-12,34.6,193.2,13,466(-2),,,,杉浦宏昭,レオ,,201606020412,東
11,5,6,スワンボート,牡6,54,藤田菜七,1:35.5,クビ,**,6-7-8,34.9,25.3,9,484(-2),,,,大江原哲,田頭勇貴,,201606020412,東
12,8,12,ショウナンラムジ,牡7,57,吉田豊,1:35.6,1/2,**,11-10-10,34.8,164.1,12,504(-4),,,,森田直行,国本哲秀,,201606020412,西
13,7,11,サクラディソール,牝6,55,Ｍ．デム,1:35.8,1,**,6-4-5,35.4,16.7,6,438(-8),,,,尾関知人,さくらコマース,,201606020412,東
1,8,12,インナーアージ,牝6,52,津村明秀,2:34.2,,**,3-3-4-3,35.8,36.2,9,454(+6),,,,国枝栄,サンデーレーシング,"1,845.9",201606020510,東
2,6,7,プロレタリアト,牝5,52,杉原誠人,2:34.3,3/4,**,9-9-10-8,35.4,8.7,4,438(+2),,,,小島茂之,田原邦男,737.4,201606020510,東
3,5,5,ツクバアズマオー,牡5,55,吉田豊,2:34.3,クビ,**,5-5-7-5,35.6,3.0,1,480(0),,,,尾形充弘,荻原昭二,463.7,201606020510,東
4,1,1,ペンタトニック,牡5,55,石橋脩,2:34.4,1/2,**,10-11-7-8,35.7,4.8,3,486(-8),,,,大久保龍,吉田勝己,270.0,201606020510,西
5,6,8,ケイアイチョウサン,牡6,56,丸山元気,2:34.4,クビ,**,8-8-9-5,35.6,23.2,8,454(+4),,,,和田雄二,チョウサン,182.0,201606020510,東
6,3,3,マイネオーラム,牝5,53,柴田大知,2:34.4,ハナ,**,2-2-2-1,36.3,9.8,6,476(+2),,,,高橋義博,サラブレッドクラブ・ラフィアン,,201606020510,東
7,2,2,ワールドレーヴ,牡6,55,松岡正海,2:34.6,1.1/4,**,12-12-11-10,35.5,9.3,5,480(-2),,,,二ノ宮敬,嶋田賢,,201606020510,東
8,4,4,ロジサンデー,牡7,53,大野拓弥,2:34.8,1.1/4,**,10-9-11-10,35.7,52.7,11,488(-4),,,,古賀慎明,久米田正明,,201606020510,東
9,8,11,アカノジュウハチ,牡5,55,岩田康誠,2:35.1,1.3/4,**,7-7-4-5,36.6,16.4,7,508(-8),,,,尾関知人,根本忠義,,201606020510,東
10,7,9,マイネルアイザック,牡7,54,三浦皇成,2:35.1,ハナ,**,5-5-3-4,36.8,47.7,10,460(-6),,,,宮徹,サラブレッドクラブ・ラフィアン,,201606020510,西
11,7,10,ジュンスパーヒカル,牡4,54,藤岡佑介,2:35.1,ハナ,**,1-1-1-2,37.0,4.7,2,466(0),,,,友道康夫,河合純二,,201606020510,西
12,5,6,セイカアヴァンサ,牡4,53,内田博幸,2:36.0,5,**,4-4-4-12,37.5,118.4,12,456(0),,,,相沢郁,久米大,,201606020510,東
1,6,11,チェッキーノ,牝3,54,柴山雄一,1:35.5,,**,8-6-4,35.2,6.5,3,462(+6),,,,藤沢和雄,サンデーレーシング,"1,939.2",201606020511,東
2,8,16,アッラサルーテ,牝3,54,石橋脩,1:35.7,1.1/4,**,1-1-1,35.8,124.3,14,466(-4),,,,手塚貴久,吉田勝己,771.2,201606020511,東
3,5,10,ペプチドサプル,牝3,54,古川吉洋,1:35.7,アタマ,**,3-4-4,35.5,5.2,2,448(-4),,,,木原一良,沼川一彦,485.6,201606020511,西
4,6,12,エクラミレネール,牝3,54,内田博幸,1:35.7,ハナ,**,4-2-2,35.7,11.8,6,440(-6),,,,高橋裕,岡田牧雄,290.0,201606020511,東
5,7,14,リボンフラワー,牝3,54,三浦皇成,1:35.8,1/2,**,8-8-8,35.2,7.6,4,456(-6),,,,池江泰寿,池江泰郎,190.0,201606020511,西
6,1,1,メイショウタチマチ,牝3,54,柴田大知,1:35.9,1/2,**,8-11-11,35.2,2.6,1,470(-6),,,,河内洋,松本好雄,,201606020511,西
7,8,15,オウケンビリーヴ,牝3,54,大野拓弥,1:35.9,クビ,**,4-2-2,35.9,51.3,11,466(-4),,,,安田隆行,福井明,,201606020511,西
8,3,6,ワンスインナムーン,牝3,54,丸山元気,1:35.9,クビ,**,2-6-4,35.6,13.6,7,434(0),,,,斎藤誠,諸江幸祐,,201606020511,東
9,2,3,メイショウバーズ,牝3,54,藤岡佑介,1:36.1,1.1/4,**,4-8-10,35.6,9.7,5,438(-4),,,,本田優,松本好隆,,201606020511,西
10,2,4,コウセイオリーヴ,牝3,54,木幡初広,1:36.3,1.1/4,**,8-11-11,35.5,407.9,16,434(-4),,,,中野栄治,杉安浩一郎,,201606020511,東
11,1,2,メジャータイフーン,牝3,54,柴田善臣,1:36.5,1.1/4,**,13-14-13,35.5,37.0,9,480(-10),,,,高柳瑞樹,林正道,,201606020511,東
12,4,7,トモジャクール,牝3,54,武士沢友,1:36.6,3/4,**,13-11-13,35.8,307.2,15,442(+6),,,,栗田徹,吉冨学,,201606020511,東
13,3,5,クラリティーアイズ,牝3,54,岩田康誠,1:36.6,クビ,**,8-8-8,36.1,26.0,8,452(-8),,,,池添学,キャロットファーム,,201606020511,西
14,4,8,スマートアリシア,牝3,54,松岡正海,1:36.7,3/4,**,16-15-15,35.4,78.2,12,424(0),,,,鹿戸雄一,大川徹,,201606020511,東
15,7,13,サバイバルポケット,牝3,54,伊藤工真,1:36.9,3/4,**,4-4-4,36.8,41.9,10,474(-2),,,,和田雄二,福田光博,,201606020511,東
16,5,9,ティアップリバティ,牝3,54,江田照男,1:37.1,1.1/4,**,15-15-15,35.9,119.7,13,476(0),,,,小野次郎,田中昇,,201606020511,東
1,8,15,イアペトス,牡4,57,江田照男,1:11.8,,**,4-3,37.5,6.6,4,488(0),,,,武市康男,ミルファーム,750.0,201606020512,東
2,2,3,ダイチヴュルデ,牡5,57,柴田大知,1:11.8,クビ,**,13-12,36.3,21.9,8,456(-6),,,,蛯名利弘,荻伏服部牧場,300.0,201606020512,東
3,8,16,サンアルパイン,牡4,57,岩部純二,1:11.9,1/2,**,13-12,36.5,32.3,9,502(+4),,,,萱野浩二,加藤信之,190.0,201606020512,東
4,4,8,ネイティヴコード,牝5,53,井上敏樹,1:11.9,ハナ,**,2-1,38.0,6.0,3,508(-6),,,,伊藤圭三,岡田牧雄,110.0,201606020512,東
5,2,4,スズカオーショウ,牡5,57,丸山元気,1:12.1,1.1/4,**,7-7,37.6,5.3,2,516(0),,,,柄崎孝,永井啓弍,75.0,201606020512,東
6,6,12,シゲルユカタマツリ,牡4,57,武士沢友,1:12.2,クビ,**,9-8,37.5,73.3,13,498(-6),,,,伊藤正徳,森中蕃,,201606020512,東
7,4,7,ナンヨールーク,牡5,54,木幡初也,1:12.2,アタマ,**,10-8,37.3,188.7,16,504(0),,,,杉浦宏昭,中村徳也,,201606020512,東
8,5,10,ハリケーンリリー,セ5,57,宮崎北斗,1:12.2,クビ,**,4-3,37.9,7.8,5,504(-4),,,,中川公成,山上和良,,201606020512,東
9,1,2,ハツコイ,牝5,55,嘉藤貴行,1:12.4,3/4,**,11-10,37.3,153.9,14,434(-2),,,,星野忍,内田玄祥,,201606020512,東
10,7,13,ヒメスズラン,牝5,55,石橋脩,1:12.4,ハナ,**,12-10,37.2,33.2,10,490(-8),,,,柴田政人,岡田勇,,201606020512,東
11,6,11,ツクバインパクト,牡4,57,古川吉洋,1:12.7,2,**,16-16,37.0,39.1,11,438(-2),,,,土田稔,荻原昭二,,201606020512,東
12,5,9,キービスケット,牝5,55,吉田豊,1:13.0,1.1/2,**,13-12,37.5,63.9,12,490(-4),,,,高橋文雅,北前孔一郎,,201606020512,東
13,1,1,アイリーグレイ,牝4,52,木幡巧也,1:13.2,1.1/2,**,4-6,39.0,3.0,1,458(+8),,,,牧光二,前原敏行,,201606020512,東
14,7,14,スズヨサムソン,牝4,55,柴田善臣,1:13.3,クビ,**,3-3,39.2,18.2,7,440(-25),,,,松永康利,鈴木与四郎,,201606020512,東
15,3,5,ソアリングホーク,牡5,57,松岡正海,1:13.4,1/2,**,1-2,39.5,17.6,6,492(+4),,,,堀井雅広,藤田在子,,201606020512,東
16,3,6,シゲルハマオリサイ,牡4,57,大野拓弥,1:15.0,10,**,7-12,40.5,158.2,15,448(-6),,,,伊藤正徳,森中蕃,,201606020512,東
1,2,2,インパルスヒーロー,牡6,56,田中勝春,1:34.5,,**,10-9-8,34.7,58.8,11,506(0),,,,国枝栄,佐々木政充,"2,328.7",201606020610,東
2,8,12,アルバタックス,牡6,56,戸崎圭太,1:34.5,クビ,**,2-4-4,35.0,5.9,4,496(-8),,,,石坂正,社台レースホース,928.2,201606020610,西
3,6,8,ミュゼゴースト,牡4,56,大野拓弥,1:34.6,1/2,**,2-3-2,35.2,10.7,5,510(+4),,,,大江原哲,坂本肇,584.1,201606020610,東
4,1,1,シャイニープリンス,牡6,57,蛯名正義,1:34.6,アタマ,**,7-9-8,34.8,16.7,6,502(+4),,,,栗田博憲,小林昌志,350.0,201606020610,東
5,8,13,アロマカフェ,牡9,56,柴山雄一,1:34.6,ハナ,**,5-4-7,35.1,115.4,12,482(-2),,,,小島太,西川光一,230.0,201606020610,東
6,3,3,グランシルク,牡4,56,岩田康誠,1:34.7,クビ,**,10-12-13,34.7,2.5,1,496(+4),,,,戸田博文,シルクレーシング,,201606020610,東
7,5,6,クラリティシチー,牡5,56,内田博幸,1:34.7,ハナ,**,9-12-12,34.8,5.4,3,496(+2),,,,上原博之,友駿ホースクラブ,,201606020610,東
8,5,7,ヤングマンパワー,牡4,56,松岡正海,1:34.8,1/2,**,5-4-4,35.3,5.3,2,520(+10),,,,手塚貴久,星野壽市,,201606020610,東
9,4,5,ゼウス,牡6,56,吉田豊,1:35.1,1.1/2,**,1-1-1,35.9,38.5,10,492(0),,,,鈴木孝志,杉澤光雄,,201606020610,西
10,4,4,アーデント,牡7,57,横山典弘,1:35.1,アタマ,**,12-9-11,35.3,27.5,8,494(+8),,,,加藤征弘,キャロットファーム,,201606020610,東
11,7,10,ベルラップ,牡4,56,三浦皇成,1:35.5,2.1/2,**,7-8-8,35.8,21.0,7,502(-4),,,,須貝尚介,サンデーレーシング,,201606020610,西
12,7,11,マイネルホウオウ,牡6,57,柴田大知,1:35.6,3/4,**,13-4-4,36.1,32.6,9,500(-24),,,,畠山吉宏,サラブレッドクラブ・ラフィアン,,201606020610,東
13,6,9,タガノアザガル,牡4,56,菱田裕二,1:35.6,クビ,**,2-2-2,36.3,233.2,13,444(-6),,,,千田輝彦,八木良司,,201606020610,西
1,8,16,シュンドルボン,牝5,54,吉田豊,1:50.3,,**,9-10-7-5,34.5,8.3,4,502(0),,,,矢野英一,下河辺牧場,"3,658.1",201606020611,東
2,8,15,ルージュバック,牝4,56,戸崎圭太,1:50.3,クビ,**,7-7-5-5,34.7,2.0,1,458(0),,,,大竹正博,キャロットファーム,"1,416.6",201606020611,東
3,3,6,メイショウスザンナ,牝7,55,大野拓弥,1:50.4,3/4,**,12-12-11-13,34.5,120.0,15,468(-6),,,,高橋義忠,松本好隆,908.3,201606020611,西
4,5,10,アルマディヴァン,牝6,54,横山典弘,1:50.5,クビ,**,1-1-3-3,35.1,75.4,13,486(-4),,,,高橋文雅,コウトミックレーシング,540.0,201606020611,東
5,5,9,ハピネスダンサー,牝5,53,吉田隼人,1:50.5,アタマ,**,7-7-7-8,34.8,7.5,3,492(-6),,,,高野友和,前迫義幸,360.0,201606020611,西
6,7,13,ヴィルジニア,牝6,50,鮫島克駿,1:50.5,ハナ,**,3-6-3-3,35.0,53.7,12,454(-6),,,,池添学,Ｇ１レーシング,,201606020611,西
7,6,11,リメインサイレント,牝6,53,津村明秀,1:50.5,アタマ,**,3-3-2-2,35.2,145.1,16,494(-10),,,,田中章博,社台レースホース,,201606020611,西
8,2,4,アースライズ,牝4,54,川須栄彦,1:50.6,クビ,**,9-7-13-15,34.6,6.9,2,454(+6),,,,矢作芳人,吉田勝己,,201606020611,西
9,4,7,フレイムコード,牝7,53,菱田裕二,1:50.6,クビ,**,14-13-1-1,35.4,107.9,14,474(-8),,,,谷潔,イクタ,,201606020611,西
10,1,2,レイヌドネージュ,牝6,53,石川裕紀,1:50.7,1/2,**,14-15-15-15,34.3,27.4,8,490(-4),,,,菊沢隆徳,サンデーレーシング,,201606020611,東
11,7,14,キャットコイン,牝4,54,柴山雄一,1:50.7,クビ,**,9-10-11-11,34.8,52.8,11,448(+14),,,,二ノ宮敬,サンデーレーシング,,201606020611,東
12,3,5,リーサルウェポン,牝5,51,内田博幸,1:50.8,クビ,**,16-16-15-13,34.4,13.4,5,430(-6),,,,荒川義之,ＨｉｍＲｏｃｋＲａｃｉｎｇ,,201606020611,西
13,4,8,ノボリディアーナ,牝6,56,田中勝春,1:50.9,1/2,**,12-13-13-8,34.8,33.9,9,460(-4),,,,松永昌博,原田豊,,201606020611,西
14,2,3,ウインリバティ,牝5,53,柴田大知,1:50.9,ハナ,**,6-5-7-11,35.1,38.1,10,450(-2),,,,飯田雄三,ウイン,,201606020611,西
15,6,12,シングウィズジョイ,牝4,55,岩田康誠,1:50.9,クビ,**,2-2-5-5,35.3,14.0,6,470(+2),,,,友道康夫,社台レースホース,,201606020611,西
16,1,1,クインズミラーグロ,牝4,53,蛯名正義,1:51.0,1/2,**,3-3-7-8,35.2,21.4,7,452(+18),,,,和田正道,クイーンズ・ランチ,,201606020611,東
1,8,16,クラウンシャイン,牡4,56,石川裕紀,1:54.9,,**,6-6-4-4,37.3,2.8,1,474(-4),,,,蛯名利弘,クラウン,"1,050.0",201606020612,東
2,8,15,ルールソヴァール,セ4,57,蛯名正義,1:54.9,ハナ,**,3-3-2-2,37.4,5.1,2,482(+4),,,,高木登,ノルマンディーサラブレッドレーシング,420.0,201606020612,東
3,2,3,ゴーイングベル,牡6,57,大野拓弥,1:55.4,3,**,1-1-1-1,38.0,10.5,4,514(-8),,,,岩元市三,田畑利彦,260.0,201606020612,西
4,5,10,アンヴェイルド,牡5,57,三浦皇成,1:55.5,3/4,**,7-8-5-5,37.8,13.1,6,498(+2),,,,戸田博文,窪田康志,160.0,201606020612,東
5,3,5,クラーロデルナ,牡7,57,横山典弘,1:55.6,クビ,**,16-16-16-15,36.8,30.7,11,506(+4),,,,杉浦宏昭,山岸桂市,105.0,201606020612,東
6,7,13,ロンギングエース,牡6,57,吉田豊,1:55.7,1/2,**,15-15-12-9,37.5,81.6,14,516(+8),,,,勢司和浩,坂本浩一,,201606020612,東
7,4,7,クールエイジア,牡4,57,津村明秀,1:55.8,クビ,**,9-9-9-9,37.8,10.6,5,464(0),,,,鈴木伸尋,山王飯店,,201606020612,東
8,2,4,メイショウフェイク,牡4,57,嘉藤貴行,1:56.0,1,**,5-5-5-5,38.3,16.2,7,496(-6),,,,奥平雅士,内田玄祥,,201606020612,東
9,6,12,タンジブル,牡4,57,柴山雄一,1:56.1,1/2,**,13-12-9-9,38.2,7.7,3,502(0),,,,黒岩陽一,Ｈ．Ｈ．シェイク・モハメド,,201606020612,東
10,3,6,ノースヒーロー,牡4,57,吉田隼人,1:56.3,1.1/4,**,2-2-2-2,38.8,176.9,16,472(+4),,,,和田正道,スピードファーム,,201606020612,東
11,1,1,レッドジョーカー,セ8,57,杉原誠人,1:56.3,ハナ,**,3-3-5-5,38.6,54.3,12,520(0),,,,藤沢和雄,東京ホースレーシング,,201606020612,東
12,6,11,エミネスク,牡4,57,田中勝春,1:56.3,ハナ,**,9-11-5-5,38.6,16.4,8,516(+22),,,,牧光二,社台レースホース,,201606020612,東
13,7,14,ニシノゲンキマル,牡5,57,武士沢友,1:56.3,クビ,**,12-12-9-12,38.3,90.4,15,504(+4),,,,尾形充弘,西山茂行,,201606020612,東
14,1,2,レッツゴースター,牡4,57,内田博幸,1:56.5,1,**,9-9-12-13,38.3,21.6,10,458(0),,,,大和田成,Ｂａｓｉｃ,,201606020612,東
15,5,9,ロジテースト,牡5,57,松岡正海,1:56.9,2.1/2,**,13-12-12-13,38.7,69.2,13,452(-2),,,,古賀慎明,久米田正明,,201606020612,東
16,4,8,ケンブリッジサン,牡6,57,江田照男,1:57.7,5,**,7-6-15-16,39.4,18.9,9,486(+2),,,,星野忍,中西宏彰,,201606020612,東
1,3,5,ブルドッグボス,牡4,57,ルメール,1:09.5,,**,4-4,35.4,1.8,1,516(-4),,,,西浦勝一,ＨｉｍＲｏｃｋＲａｃｉｎｇ,"2,236.4",201606020710,西
2,6,11,キタサンミカヅキ,牡6,56,武士沢友,1:09.7,1.1/2,**,6-6,35.3,14.5,6,528(-4),,,,古賀史生,大野商事,890.4,201606020710,東
3,4,8,カジキ,牡7,57,柴田善臣,1:09.9,1.1/4,**,3-3,36.1,7.0,3,504(-6),,,,笹田和秀,幅田昌伸,555.2,201606020710,西
4,5,9,ナンチンノン,牡5,56,吉田豊,1:09.9,アタマ,**,1-1,36.4,10.0,4,538(+12),,,,中竹和也,加藤誠,330.0,201606020710,西
5,7,13,ゴーイングパワー,牡7,56,大野拓弥,1:10.1,1.1/4,**,8-7,35.5,13.7,5,498(-8),,,,岩元市三,林進,220.0,201606020710,西
6,2,4,アンズチャン,牝5,54,横山典弘,1:10.3,1.1/4,**,15-14,34.7,6.1,2,476(-4),,,,大和田成,ケンレーシング組合,,201606020710,東
7,2,3,ミヤジエルビス,牡6,56,シュタル,1:10.3,クビ,**,4-4,36.2,101.2,13,496(+4),,,,川村禎彦,曽我司,,201606020710,西
8,5,10,ワイドエクセレント,牡6,56,石川裕紀,1:10.4,クビ,**,12-11,35.3,41.1,9,554(-2),,,,尾形和幸,古賀慎一,,201606020710,東
9,1,1,アメージングタクト,牡6,56,石橋脩,1:10.4,ハナ,**,10-10,35.6,62.1,10,474(-10),,,,浜田多実,サンデーレーシング,,201606020710,西
10,8,15,トキノゲンジ,牡8,56,西田雄一,1:10.5,1/2,**,13-11,35.1,25.7,8,500(-22),,,,西村真幸,中野正則,,201606020710,西
11,6,12,サトノデプロマット,牡6,56,池添謙一,1:10.6,1/2,**,11-11,35.7,105.0,14,514(-2),,,,高橋亮,里見治,,201606020710,西
12,1,2,ミリオンヴォルツ,牡7,56,丸山元気,1:10.6,クビ,**,2-2,37.0,68.0,11,504(+2),,,,高野友和,林正道,,201606020710,西
13,4,7,カリスマサンスカイ,牡8,56,義英真,1:10.9,1.1/2,**,13-14,35.6,79.1,12,532(-10),,,,崎山博樹,畔柳年言,,201606020710,西
14,8,16,ベルサリエーレ,牡6,56,松岡正海,1:11.0,1/2,**,8-8,36.5,148.7,15,482(-4),,,,松下武士,藤田孟司,,201606020710,西
15,7,14,レオパルディナ,牝4,54,藤岡康太,1:11.3,2,**,6-9,36.9,180.7,16,444(-2),,,,高橋康之,キャロットファーム,,201606020710,西
16,3,6,キクノストーム,牡7,59,内田博幸,1:17.1,大,**,16-16,41.3,25.5,7,500(0),,,,吉田直弘,菊池五郎,,201606020710,西
1,1,1,マウントロブソン,牡3,56,シュタル,1:48.1,,**,4-4-5-5,35.7,8.0,4,470(-6),,,,堀宣行,金子真人ホールディングス,"5,479.8",201606020711,東
2,4,4,マイネルハニー,牡3,56,柴田大知,1:48.1,クビ,**,1-1-1-1,36.2,9.4,5,470(+6),,,,栗田博憲,サラブレッドクラブ・ラフィアン,"2,222.8",201606020711,東
3,8,10,ロードクエスト,牡3,56,池添謙一,1:48.2,クビ,**,10-10-10-10,35.0,1.7,1,454(+2),,,,小島茂之,ロードホースクラブ,"1,411.4",201606020711,東
4,7,8,プランスシャルマン,牡3,56,内田博幸,1:48.4,1.1/4,**,7-7-3-2,36.2,60.3,9,460(-6),,,,斎藤誠,村野康司,810.0,201606020711,東
5,6,7,ミッキーロケット,牡3,56,ルメール,1:48.4,クビ,**,11-11-11-11,34.8,6.3,2,472(0),,,,音無秀孝,野田みづき,540.0,201606020711,西
6,6,6,プレイヤーサムソン,牡3,56,松岡正海,1:48.7,2,**,7-8-8-7,35.8,241.8,11,458(+2),,,,大和田成,嶋田賢,,201606020711,東
7,8,11,ドレッドノータス,牡3,56,武豊,1:48.9,1.1/4,**,7-9-8-7,35.9,6.5,3,470(+6),,,,矢作芳人,キャロットファーム,,201606020711,西
8,2,2,ハレルヤボーイ,牡3,56,吉田豊,1:49.0,クビ,**,6-6-6-5,36.4,22.3,6,452(-4),,,,田村康仁,島川隆哉,,201606020711,東
9,5,5,モウカッテル,牡3,56,藤田菜七,1:49.1,3/4,**,5-5-6-7,36.4,55.3,8,448(-2),,,,森秀行,田中邦彦,,201606020711,西
