着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),日付
1,5,10,"
ゼンノヒストリエ
",牡4,57,"
田辺裕信
",1:11.7,,"

**

",3-3,37,7.2,3,506(+2),"

","

","
","
[東]
小島茂之
","
大迫久美子
",1050,201506020812
2,6,11,"
ジェネシスロック
",牡5,57,"
勝浦正樹
",1:11.7,ハナ,"

**

",4-4,36.8,18.4,9,496(-4),"

","

","
","
[西]
安田隆行
","
前田幸治
",420,201506020812
3,7,13,"
ティップトップ
",牝4,55,"
福永祐一
",1:11.7,ハナ,"

**

",7-7,36.5,8.1,6,506(+4),"

","

","
","
[西]
千田輝彦
","
Ｈ．Ｈ．シェイク・モハメド
",260,201506020812
4,6,12,"
マリカ
",牝4,52,"
井上敏樹
",1:11.7,アタマ,"

**

",2-1,37.1,7.9,5,472(+4),"

","

","
","
[東]
本間忍
","
日進牧場
",160,201506020812
5,3,5,"
マレーナ
",牝4,55,"
北村宏司
",1:11.9,1,"

**

",4-4,36.9,50,13,486(+24),"

","

","
","
[東]
手塚貴久
","
山本英俊
",105,201506020812
6,7,14,"
ミステリートレイン
",牡7,57,"
戸崎圭太
",1:12.0,1/2,"

**

",9-9,36.6,5.8,2,516(-4),"

","

","
","
[東]
萩原清
","
金子真人ホールディングス
",,201506020812
7,1,2,"
アキノアッパー
",牡5,57,"
バルジュ
",1:12.2,1,"

**

",11-9,36.6,4.2,1,484(+6),"

","

","



","
[東]
大和田成
","
穐吉正孝
",,201506020812
8,4,8,"
サンマディソン
",牝4,55,"
岩部純二
",1:12.3,3/4,"

**

",12-12,36.5,48.7,12,448(-6),"

","

","



","
[東]
萱野浩二
","
加藤信之
",,201506020812
9,8,15,"
ドナリサ
",牝7,55,"
江田照男
",1:12.3,ハナ,"

**

",12-12,36.5,126.8,15,470(-10),"

","

","



","
[東]
高木登
","
山田貢一
",,201506020812
10,2,3,"
ヒカリマサムネ
",牡5,57,"
三浦皇成
",1:12.4,クビ,"

**

",7-6,37.2,16.3,8,462(-4),"

","

","
","
[東]
池上昌弘
","
ヒカリクラブ
",,201506020812
11,5,9,"
エストゥペンド
",牡4,57,"
吉田豊
",1:12.6,1.1/2,"

**

",16-16,36.5,26.8,10,500(-6),"

","

","



","
[東]
小西一男
","
平本敏夫
",,201506020812
12,1,1,"
ジャコカッテ
",牡4,57,"
蛯名正義
",1:12.7,クビ,"

**

",15-15,36.7,12.2,7,496(-4),"

","

","



","
[西]
高橋義忠
","
晴間初栄
",,201506020812
13,8,16,"
ワイルドダラー
",牡4,57,"
川田将雅
",1:13.0,2,"

**

",4-8,38,7.9,4,492(-8),"

","

","
","
[東]
古賀慎明
","
ＨｉｍＲｏｃｋＲａｃｉｎｇ
",,201506020812
14,4,7,"
ルミニズム
",牡4,57,"
内田博幸
",1:13.1,1/2,"

**

",14-14,37.2,32.5,11,506(+4),"

","

","



","
[東]
大竹正博
","
社台レースホース
",,201506020812
15,2,4,"
タイキガラハッド
",牡7,54,"
石川裕紀
",1:13.1,ハナ,"

**

",9-9,37.8,203,16,524(+28),"

","

","
","
[西]
森田直行
","
大樹ファーム
",,201506020812
16,3,6,"
ランドクイーン
",牝5,55,"
柴山雄一
",1:13.9,5,"

**

",1-2,39.3,92.2,14,470(-2),"

","

","
","
[東]
和田正一
","
山口敦広
",,201506020812
1,2,4,"
ペイシャモンシェリ
",牡4,57,"
福永祐一
",1:10.5,,"

**

",1-1,36.9,12.8,6,462(-6),"

","

","
","
[西]
目野哲也
","
北所直人
",1861.3,201506030110
2,7,13,"
ルミナスウイング
",牡5,57,"
津村明秀
",1:10.7,1.1/2,"

**

",8-8,36.2,5.8,4,492(-6),"

","

","



","
[西]
安田隆行
","
キャロットファーム
",741.8,201506030110
3,8,15,"
サウスビクトル
",牡6,57,"
田辺裕信
",1:10.9,1,"

**

",6-6,36.7,21.7,9,462(-2),"

","

","
","
[東]
久保田貴
","
南波壽
",465.9,201506030110
4,1,2,"
サルバドールハクイ
",牡5,57,"
戸崎圭太
",1:11.1,1.1/4,"

**

",13-13,36.2,9.1,5,466(+6),"

","

","
","
[東]
相沢郁
","
則武輝一
",270,201506030110
5,3,5,"
コウユーサムライ
",牡6,57,"
Ｍ．デム
",1:11.1,クビ,"

**

",8-8,36.6,4.7,1,496(+4),"

","

","
","
[西]
森秀行
","
加治屋貞光
",182,201506030110
6,4,8,"
クリノエリザベス
",牝4,55,"
石橋脩
",1:11.3,1.1/2,"

**

",2-2,37.5,5.7,3,488(-16),"

","

","
","
[西]
須貝尚介
","
栗本博晴
",,201506030110
7,7,14,"
コーリンギデオン
",牡6,57,"
横山典弘
",1:11.6,1.3/4,"

**

",16-16,35.3,16.4,8,484(-2),"

","

","



","
[東]
小野次郎
","
伊藤恵子
",,201506030110
8,4,7,"
ヤマノサファイア
",牡7,57,"
田中博康
",1:11.6,アタマ,"

**

",15-15,36.1,63.4,12,432(-6),"

","

","



","
[西]
崎山博樹
","
澤村敏雄
",,201506030110
9,5,10,"
インディーズゲーム
",牡7,57,"
田中勝春
",1:11.6,アタマ,"

**

",10-10,36.9,23.4,10,478(+4),"

","

","
","
[東]
宗像義忠
","
薗部博之
",,201506030110
10,8,16,"
アルベルティ
",牡7,57,"
江田照男
",1:11.7,クビ,"

**

",13-10,36.8,26.3,11,510(-10),"

","

","



","
[東]
小島太
","
Ｈ．Ｈ．シェイク・モハメド
",,201506030110
11,1,1,"
タイセイマスタング
",牡6,57,"
吉田豊
",1:11.7,ハナ,"

**

",5-3,37.7,76.7,13,546(+2),"

","

","
","
[西]
羽月友彦
","
田中成奉
",,201506030110
12,2,3,"
グランプリナイト
",牡5,57,"
岩田康誠
",1:11.7,アタマ,"

**

",6-6,37.4,5.1,2,506(-6),"

","

","
","
[西]
鮫島一歩
","
グランプリ
",,201506030110
13,3,6,"
エリモフェザー
",牝5,55,"
村田一誠
",1:11.9,1.1/2,"

**

",10-10,37.2,147.2,15,418(-12),"

","

","
","
[東]
中野栄治
","
山本慎一
",,201506030110
14,6,11,"
サザンブレイズ
",牡7,57,"
伊藤工真
",1:12.1,1.1/2,"

**

",2-3,38.2,162.2,16,478(-2),"

","

","
","
[西]
加用正
","
南波壽
",,201506030110
15,6,12,"
テイクエイム
",牡8,57,"
柴田大知
",1:12.3,1.1/4,"

**

",12-13,37.5,95.5,14,460(-6),"

","

","



","
[東]
和田雄二
","
ヒダカ・ブリーダーズ・ユニオン
",,201506030110
16,5,9,"
モンテネオ
",牡5,57,"
柴田善臣
",1:13.0,4,"

**

",2-3,39.1,13.5,7,476(0),"

","

","
","
[東]
小島茂之
","
毛利喜昭
",,201506030110
1,5,6,"
アドマイヤデウス
",牡4,56,"
岩田康誠
",2:30.2,,"

**

",7-7-7-5,34.2,5.4,4,472(-6),"

","

","
","
[西]
橋田満
","
近藤利一
",6584,201506030111
2,3,3,"
ウインバリアシオン
",牡7,57,"
福永祐一
",2:30.5,1.3/4,"

**

",5-5-5-3,34.7,7.3,5,526(-4),"

","

","



","
[西]
松永昌博
","
ウイン
",2624,201506030111
3,4,4,"
ホッコーブレーヴ
",牡7,56,"
田辺裕信
",2:30.5,アタマ,"

**

",9-9-9-8,34.4,14.8,6,480(0),"

","

","
","
[東]
松永康利
","
矢部道晃
",1612,201506030111
4,7,10,"
サウンズオブアース
",牡4,55,"
Ｍ．デム
",2:30.5,アタマ,"

**

",11-11-11-11,34,3.5,1,500(+4),"

","

","



","
[西]
藤岡健一
","
吉田照哉
",980,201506030111
5,1,1,"
フラガラッハ
",牡8,56,"
横山典弘
",2:30.7,1.1/4,"

**

",1-1-1-1,35.6,21.9,7,498(0),"

","

","
","
[西]
松永幹夫
","
キャロットファーム
",650,201506030111
6,8,12,"
ステラウインド
",牡6,56,"
蛯名正義
",2:30.9,1.1/4,"

**

",9-9-10-9,34.6,28.1,9,484(+2),"

","

","
","
[東]
尾関知人
","
前田幸治
",,201506030111
7,6,7,"
タマモベストプレイ
",牡5,56,"
津村明秀
",2:30.9,ハナ,"

**

",3-3-3-3,35.2,22.8,8,476(-22),"

","

","
","
[西]
南井克巳
","
タマモ
",,201506030111
8,7,9,"
フェノーメノ
",牡6,58,"
戸崎圭太
",2:30.9,クビ,"

**

",12-11-11-11,34.5,4.5,2,494(-8),"

","

","



","
[東]
戸田博文
","
サンデーレーシング
",,201506030111
9,8,11,"
トーセンアルニカ
",牝5,54,"
柴山雄一
",2:31.1,1.1/4,"

**

",5-5-5-5,35.3,48,10,462(-4),"

","

","
","
[東]
木村哲也
","
島川隆哉
",,201506030111
10,5,5,"
クリールカイザー
",牡6,57,"
吉田豊
",2:31.2,3/4,"

**

",2-2-2-2,35.7,5.2,3,494(+2),"

","

","
","
[東]
相沢郁
","
横山修二
",,201506030111
11,6,8,"
マイネルメダリスト
",牡7,57,"
柴田大知
",2:32.2,6,"

**

",8-7-7-9,36.2,153,12,498(0),"

","

","
","
[東]
田中清隆
","
サラブレッドクラブ・ラフィアン
",,201506030111
12,2,2,"
ラブイズブーシェ
",牡6,56,"
北村宏司
",2:32.8,3.1/2,"

**

",3-3-3-5,37.1,53.3,11,458(-4),"

","

","



","
[西]
村山明
","
小林祥晃
",,201506030111
1,7,9,"
タブレットピーシー
",牡4,57,"
田中勝春
",1:47.5,,"

**

",6-6-6-5,34.7,7,5,482(-6),"

","

","
","
[東]
宗像義忠
","
薗部博之
",1050,201506030112
2,1,1,"
ライズトゥフェイム
",牡5,57,"
Ｍ．デム
",1:47.6,1/2,"

**

",11-11-10-8,34.3,2.7,1,482(-2),"

","

","
","
[東]
加藤征弘
","
シルクレーシング
",420,201506030112
3,6,7,"
ディアデルレイ
",牡4,57,"
田辺裕信
",1:47.7,3/4,"

**

",8-9-7-6,34.6,4.6,2,498(-2),"

","

","
","
[東]
牧光二
","
キャロットファーム
",260,201506030112
4,3,3,"
クリノハッチャン
",牝4,55,"
柴山雄一
",1:48.0,2,"

**

",11-11-12-11,34.3,112.7,10,450(0),"

","

","
","
[東]
高市圭二
","
栗本博晴
",160,201506030112
5,2,2,"
リターントゥジェム
",牡4,57,"
岩田康誠
",1:48.1,クビ,"

**

",8-7-7-8,35.1,5.8,4,492(-2),"

","

","
","
[東]
小島茂之
","
西見徹也
",105,201506030112
6,5,5,"
コスモユウチャン
",牡6,57,"
丹内祐次
",1:48.1,クビ,"

**

",5-5-4-3,35.6,48.4,8,472(-4),"

","

","
","
[東]
高橋祥泰
","
ビッグレッドファーム
",,201506030112
7,8,11,"
マイネルシャルフ
",牡4,57,"
柴田大知
",1:48.1,ハナ,"

**

",3-3-3-3,35.8,42.6,7,504(+12),"

","

","
","
[東]
国枝栄
","
サラブレッドクラブ・ラフィアン
",,201506030112
8,7,10,"
リンガスアリュール
",牝4,55,"
柴田善臣
",1:48.2,クビ,"

**

",8-9-10-10,34.8,125.7,11,518(-4),"

","

","
","
[東]
高橋祥泰
","
伊藤巖
",,201506030112
9,6,8,"
シベリアンタイガー
",セ4,57,"
蛯名正義
",1:48.3,1/2,"

**

",2-2-2-2,36.1,16.9,6,462(-8),"

","

","
","
[東]
栗田博憲
","
岡田牧雄
",,201506030112
10,5,6,"
アメリカンダイナー
",セ6,57,"
石橋脩
",1:48.5,1.1/4,"

**

",1-1-1-1,36.7,4.7,3,480(0),"

","

","
","
[東]
相沢郁
","
吉澤克己
",,201506030112
11,8,12,"
リキアイクロフネ
",牡8,57,"
村田一誠
",1:49.3,5,"

**

",6-7-7-12,36.2,133.9,12,456(-18),"

","

","
","
[東]
田中剛
","
岡田隆寛
",,201506030112
12,4,4,"
カネコメオスター
",牡4,57,"
江田照男
",1:49.8,3,"

**

",3-4-4-6,37.3,64.5,9,490(0),"

","

","



","
[東]
矢野英一
","
高岡義雄
",,201506030112
1,6,8,"
ファントムライト
",牡6,56,"
内田博幸
",2:00.0,,"

**

",10-10-10-8,34.5,9.5,5,492(-2),"

","

","
","
[西]
藤原英昭
","
サンデーレーシング
",1851.5,201506030210
2,2,2,"
ダイワレジェンド
",牝4,53,"
北村宏司
",2:00.1,1/2,"

**

",4-4-5-4,35.2,2.5,1,484(-8),"

","

","
","
[東]
国枝栄
","
大城敬三
",739,201506030210
3,8,12,"
サクラボールド
",牡8,56,"
横山典弘
",2:00.1,ハナ,"

**

",12-12-12-10,34.4,15.2,7,484(+4),"

","

","
","
[東]
菊沢隆徳
","
さくらコマース
",464.5,201506030210
4,5,6,"
カムフィー
",牡6,55,"
柴田善臣
",2:00.2,3/4,"

**

",12-13-12-13,34.5,7.3,3,466(-8),"

","

","



","
[東]
池上昌和
","
清水二朗
",270,201506030210
5,4,4,"
テスタメント
",牡4,55,"
杉原誠人
",2:00.2,クビ,"

**

",9-9-8-8,34.9,4.5,2,432(-2),"

","

","
","
[東]
小島茂之
","
田原邦男
",182,201506030210
6,6,9,"
サムソンズプライド
",牡5,55,"
田辺裕信
",2:00.2,ハナ,"

**

",1-1-1-2,35.6,8.1,4,478(-8),"

","

","



","
[東]
杉浦宏昭
","
シルクレーシング
",,201506030210
6,7,10,"
ミヤジタイガ
",牡5,57,"
吉田豊
",2:00.2,同着,"

**

",7-7-5-4,35.2,11.4,6,508(-4),"

","

","



","
[西]
岩元市三
","
曽我司
",,201506030210
8,8,13,"
ハーコット
",牡6,53,"
横山和生
",2:00.4,1.1/4,"

**

",2-2-2-1,35.8,167.9,13,474(-6),"

","

","
","
[東]
鹿戸雄一
","
社台レースホース
",,201506030210
9,4,5,"
ラディウス
",牡4,55,"
勝浦正樹
",2:00.4,クビ,"

**

",10-11-10-10,34.9,20,8,450(-10),"

","

","



","
[西]
高野友和
","
名古屋友豊
",,201506030210
10,5,7,"
オメガブレイン
",牡7,52,"
田中勝春
",2:00.5,クビ,"

**

",4-4-2-2,35.8,98,12,476(+2),"

","

","
","
[東]
古賀慎明
","
原礼子
",,201506030210
11,1,1,"
マイネルマーク
",牡7,54,"
柴田大知
",2:00.5,アタマ,"

**

",6-6-7-6,35.4,50.2,9,486(0),"

","

","
","
[東]
国枝栄
","
サラブレッドクラブ・ラフィアン
",,201506030210
12,7,11,"
ブロードスター
",セ5,54,"
蛯名正義
",2:01.1,3.1/2,"

**

",8-8-8-10,35.7,50.2,10,472(0),"

","

","
","
[西]
鮫島一歩
","
安原浩司
",,201506030210
13,3,3,"
カーバ
",牡6,54,"
石川裕紀
",2:01.6,3,"

**

",2-2-2-6,36.9,66.2,11,496(+4),"

","

","
","
[東]
和田雄二
","
ターフ・スポート
",,201506030210
1,8,16,"
マイネルクロップ
",牡5,56,"
丹内祐次
",1:52.7,,"

**

",7-7-7-7,37.7,13.5,6,500(-9),"

","

","
","
[西]
飯田雄三
","
サラブレッドクラブ・ラフィアン
",3558.8,201506030211
2,8,15,"
イッシンドウタイ
",牡6,56,"
田辺裕信
",1:52.7,アタマ,"

**

",10-10-9-9,37.5,10.5,5,520(-2),"

","

","



","
[東]
伊藤圭三
","
グランド牧場
",1416.8,201506030211
3,7,13,"
マスクトヒーロー
",牡7,57,"
横山典弘
",1:52.7,アタマ,"

**

",3-3-3-3,38,3.5,1,498(-2),"

","

","
","
[東]
新開幸一
","
社台レースホース
",888.4,201506030211
4,4,7,"
キクノソル
",牡5,54,"
柴田善臣
",1:52.8,1/2,"

**

",6-5-5-4,37.9,7.3,4,500(-4),"

","

","
","
[西]
北出成人
","
菊池五郎
",530,201506030211
5,6,12,"
ベルゲンクライ
",牡5,55,"
吉田豊
",1:52.8,アタマ,"

**

",13-13-13-11,37.1,6,3,474(-10),"

","

","
","
[東]
高橋文雅
","
大原詔宏
",350,201506030211
6,7,14,"
トウショウフリーク
",牡8,56,"
石橋脩
",1:52.9,3/4,"

**

",4-5-5-4,38,39.4,12,494(-4),"

","

","
","
[西]
今野貞一
","
トウショウ産業
",,201506030211
7,1,1,"
ダノンカモン
",牡9,57.5,"
大野拓弥
",1:52.9,アタマ,"

**

",10-11-9-9,37.7,53.1,13,530(0),"

","

","
","
[西]
池江泰寿
","
ダノックス
",,201506030211
8,6,11,"
ソロル
",牡5,57.5,"
蛯名正義
",1:53.0,クビ,"

**

",8-7-7-7,37.9,5,2,494(-8),"

","

","
","
[西]
中竹和也
","
サンデーレーシング
",,201506030211
9,2,3,"
サンレイレーザー
",牡6,56,"
内田博幸
",1:53.2,1.1/4,"

**

",12-12-11-11,37.8,23.1,9,530(-8),"

","

","
","
[西]
高橋義忠
","
永井啓弍
",,201506030211
10,5,10,"
ロイヤルクレスト
",牡7,57,"
古川吉洋
",1:53.3,1/2,"

**

",2-2-2-2,38.7,38.4,11,528(+2),"

","

","
","
[東]
鈴木伸尋
","
木村牧場
",,201506030211
11,1,2,"
ランフォルセ
",牡9,57.5,"
丸山元気
",1:53.5,1.1/2,"

**

",16-16-15-14,37.5,136.3,15,492(-3),"

","

","
","
[東]
萩原清
","
キャロットファーム
",,201506030211
12,5,9,"
ヴォーグトルネード
",牡6,57,"
柴山雄一
",1:53.7,1.1/2,"

**

",14-14-11-11,38.2,21.3,8,472(-2),"

","

","
","
[西]
五十嵐忠
","
深見富朗
",,201506030211
13,2,4,"
ストロングサウザー
",牡4,53,"
北村宏司
",1:53.9,1,"

**

",4-3-3-4,39.2,28,10,470(-6),"

","

","
","
[東]
久保田貴
","
村木篤
",,201506030211
14,3,6,"
サンバビーン
",牝5,50,"
江田照男
",1:54.2,1.3/4,"

**

",8-9-14-14,38.4,57.9,14,490(-8),"

","

","
","
[東]
石栗龍彦
","
岡田隆寛
",,201506030211
15,3,5,"
サトノプリンシパル
",牡5,56,"
川須栄彦
",1:54.8,3.1/2,"

**

",1-1-1-1,40.3,13.9,7,556(0),"

","

","
","
[西]
矢作芳人
","
里見治
",,201506030211
16,4,8,"
メイショウカンパク
",牡8,55,"
田中勝春
",1:56.7,大,"

**

",14-14-16-16,40.6,168.4,16,490(-6),"

","

","



","
[西]
荒川義之
","
松本好雄
",,201506030211
1,3,5,"
ゲマインシャフト
",牡5,57,"
石橋脩
",1:12.1,,"

**

",14-11,35.6,5.2,2,512(+8),"

","

","



","
[東]
伊藤大士
","
丸山担
",1537.1,201506030212
2,6,11,"
ウインヴォイジャー
",牡4,57,"
丹内祐次
",1:12.2,3/4,"

**

",3-3,36.9,86.6,14,526(+12),"

","

","
","
[東]
清水英克
","
ウイン
",610.6,201506030212
3,3,6,"
エトルアンフルール
",牝5,55,"
吉田豊
",1:12.5,1.3/4,"

**

",7-6,36.9,17.6,6,486(+2),"

","

","
","
[東]
高柳瑞樹
","
村山卓也
",385.3,201506030212
4,1,2,"
エイシンラナウェー
",牡4,57,"
内田博幸
",1:12.6,1/2,"

**

",10-8,36.8,1.7,1,486(+2),"

","

","
","
[西]
西園正都
","
栄進堂
",230,201506030212
5,8,16,"
ウェイトアンドシー
",牡4,57,"
大野拓弥
",1:12.8,1.1/2,"

**

",2-2,37.7,38,9,502(0),"

","

","
","
[東]
新開幸一
","
岡田牧雄
",150,201506030212
6,6,12,"
ピュアアイズ
",牝5,55,"
田辺裕信
",1:12.8,ハナ,"

**

",1-1,37.8,24.8,7,492(+12),"

","

","
","
[東]
松永康利
","
山際牧場
",,201506030212
7,8,15,"
レッドジョーカー
",牡7,57,"
杉原誠人
",1:12.8,アタマ,"

**

",7-6,37.2,25.2,8,524(+2),"

","

","
","
[東]
藤沢和雄
","
東京ホースレーシング
",,201506030212
8,5,10,"
スズヨストラ
",牡5,57,"
北村宏司
",1:13.1,1.3/4,"

**

",5-5,37.6,15,5,476(+2),"

","

","
","
[東]
松永康利
","
鈴木与四郎
",,201506030212
9,2,3,"
ディアゴッホ
",牡4,57,"
柴山雄一
",1:13.2,1/2,"

**

",10-11,37.3,11.3,3,526(0),"

","

","
","
[東]
高橋裕
","
ディアレスト
",,201506030212
10,1,1,"
オーゴンボルト
",牡4,57,"
丸山元気
",1:13.3,3/4,"

**

",15-14,36.3,57,11,514(-6),"

","

","



","
[東]
畠山吉宏
","
永田清男
",,201506030212
11,7,14,"
ハワイアンシュガー
",牡7,57,"
岩部純二
",1:13.4,1/2,"

**

",16-16,36.1,249,16,454(+8),"

","

","



","
[東]
萱野浩二
","
四方堂第五郎
",,201506030212
12,2,4,"
ウインネオルーラー
",牡4,57,"
柴田大知
",1:13.5,クビ,"

**

",3-3,38.2,12.8,4,476(-6),"

","

","
","
[東]
高橋祥泰
","
ウイン
",,201506030212
13,4,7,"
デプロマトウショウ
",牝6,55,"
黛弘人
",1:13.6,3/4,"

**

",12-13,37.3,127.8,15,458(+2),"

","

","



","
[東]
高木登
","
トウショウ産業
",,201506030212
14,5,9,"
ハヤブサフィーバー
",牡6,57,"
柴田善臣
",1:13.8,1.1/2,"

**

",9-8,38.1,59.7,12,492(+2),"

","

","
","
[東]
伊藤圭三
","
武田修
",,201506030212
15,4,8,"
オーネットサクセス
",牝5,55,"
勝浦正樹
",1:14.2,2.1/2,"

**

",5-8,38.7,47.6,10,432(-16),"

","

","
","
[西]
森秀行
","
醍醐伸之
",,201506030212
16,7,13,"
ブラボーランサー
",牡4,57,"
田中勝春
",1:15.7,9,"

**

",12-14,39.4,77.7,13,514(-14),"

","

","
","
[西]
日吉正和
","
田畑富子
",,201506030212
1,1,1,"
ディスキーダンス
",牡4,55,"
戸崎圭太
",2:31.9,,"

**

",12-12-8-8,34.7,3.2,1,458(-2),"

","

","



","
[東]
手塚貴久
","
社台レースホース
",1528,201506030310
2,6,7,"
プレストウィック
",牡4,54,"
津村明秀
",2:31.9,ハナ,"

**

",7-7-5-4,35,19.4,7,534(+18),"

","

","
","
[東]
武藤善則
","
シルクレーシング
",608,201506030310
3,3,3,"
レオニーズ
",牡4,54,"
田中勝春
",2:32.0,1/2,"

**

",8-9-8-8,34.9,8.8,4,496(-4),"

","

","



","
[東]
小島茂之
","
社台レースホース
",384,201506030310
4,2,2,"
エイダイポイント
",牡7,55,"
岩部純二
",2:32.0,ハナ,"

**

",10-10-11-8,34.7,20.1,8,450(-10),"

","

","



","
[東]
菊沢隆徳
","
東振牧場
",230,201506030310
5,5,5,"
ヨッヘイ
",牡4,54,"
大野拓弥
",2:32.0,クビ,"

**

",8-8-11-12,34.7,10.7,5,486(0),"

","

","
","
[東]
岩戸孝樹
","
芳賀克也
",150,201506030310
6,4,4,"
ナンヨーケンゴー
",セ5,55,"
柴山雄一
",2:32.1,クビ,"

**

",10-10-5-4,35.1,10.7,6,474(-4),"

","

","



","
[東]
斎藤誠
","
中村徳也
",,201506030310
7,7,9,"
アカノジュウハチ
",牡4,55,"
北村宏司
",2:32.1,ハナ,"

**

",4-4-3-3,35.4,5.7,3,502(-8),"

","

","



","
[東]
尾関知人
","
根本忠義
",,201506030310
8,5,6,"
エタンダール
",牡6,57,"
田辺裕信
",2:32.3,1.1/2,"

**

",5-4-5-4,35.4,3.7,2,468(+8),"

","

","
","
[東]
中舘英二
","
広尾レース
",,201506030310
9,7,10,"
ヒールゼアハーツ
",牡7,54,"
吉田豊
",2:32.3,クビ,"

**

",3-3-3-2,35.7,35.4,10,502(+2),"

","

","



","
[東]
戸田博文
","
キャロットファーム
",,201506030310
10,6,8,"
ハツガツオ
",牝4,51,"
武士沢友
",2:32.4,1/2,"

**

",2-2-2-1,36.1,42.7,11,504(+4),"

","

","
","
[東]
石栗龍彦
","
江川伸夫
",,201506030310
11,8,11,"
トーセンワープ
",牡5,55,"
菅原隆一
",2:32.6,1.1/4,"

**

",1-1-1-4,36.8,21.3,9,462(-2),"

","

","



","
[東]
成島英春
","
島川隆哉
",,201506030310
12,8,12,"
アルティスト
",牡8,51,"
石川裕紀
",2:32.7,1/2,"

**

",6-6-8-11,35.6,269.6,12,484(+2),"

","

","



","
[東]
中野栄治
","
塩入満洋
",,201506030310
1,8,14,"
サトノデプロマット
",牡5,57,"
柴田善臣
",1:07.4,,"

**

",2-2,33.9,7.5,4,506(+6),"

","

","
","
[西]
高橋亮
","
里見治
",1851.5,201506030311
2,5,8,"
ネロ
",牡4,57,"
内田博幸
",1:07.4,アタマ,"

**

",1-1,34,4.6,2,462(-6),"

","

","
","
[西]
森秀行
","
西山茂行
",739,201506030311
3,3,3,"
ストロングロビン
",牡9,57,"
丸田恭介
",1:07.5,3/4,"

**

",5-5,33.6,83.2,12,496(+4),"

","

","
","
[東]
宗像義忠
","
村木篤
",464.5,201506030311
4,4,6,"
インプロヴァイズ
",牡5,57,"
戸崎圭太
",1:07.6,1/2,"

**

",5-5,33.7,7.9,5,468(-4),"

","

","



","
[東]
堀宣行
","
シルクレーシング
",270,201506030311
5,1,1,"
アットウィル
",牡5,57,"
ルメール
",1:07.6,クビ,"

**

",3-3,33.9,2.8,1,486(-6),"

","

","
","
[西]
高橋義忠
","
宮川純造
",182,201506030311
6,3,4,"
トキノゲンジ
",牡7,57,"
石橋脩
",1:07.8,1.1/4,"

**

",13-13,33.2,85.1,14,504(-6),"

","

","



","
[西]
西村真幸
","
中野正則
",,201506030311
7,5,7,"
ユキノアイオロス
",セ7,57,"
蛯名正義
",1:07.8,アタマ,"

**

",11-9,33.3,16.2,7,486(+4),"

","

","



","
[東]
和田正道
","
井上基之
",,201506030311
8,4,5,"
オレニホレルナヨ
",牡6,57,"
津村明秀
",1:07.9,1/2,"

**

",3-3,34.2,64.3,10,500(-8),"

","

","
","
[西]
南井克巳
","
キャロットファーム
",,201506030311
9,2,2,"
エターナルムーン
",牝5,55,"
木幡初広
",1:08.0,クビ,"

**

",11-13,33.5,84,13,490(+12),"

","

","
","
[東]
宗像義忠
","
鈴木芳夫
",,201506030311
10,7,11,"
アルマエルナト
",牡4,57,"
横山典弘
",1:08.0,クビ,"

**

",9-9,33.6,6.7,3,482(-6),"

","

","



","
[東]
伊藤大士
","
コウトミックレーシング
",,201506030311
11,8,13,"
インスペード
",牡6,57,"
三浦皇成
",1:08.0,ハナ,"

**

",8-8,33.8,14.5,6,494(0),"

","

","
","
[東]
萩原清
","
ノースヒルズ
",,201506030311
12,6,10,"
アンヴァルト
",牡8,57,"
田辺裕信
",1:08.2,1.1/4,"

**

",9-11,33.8,25.2,9,486(+4),"

","

","
","
[西]
平田修
","
キャロットファーム
",,201506030311
13,7,12,"
モズハツコイ
",牝4,55,"
北村宏司
",1:08.4,1.1/4,"

**

",5-5,34.5,22.2,8,464(-8),"

","

","
","
[西]
牧田和弥
","
キャピタル・システム
",,201506030311
14,6,9,"
ラフレーズカフェ
",牝6,55,"
江田照男
",1:08.6,1.1/2,"

**

",13-11,34,64.9,11,484(-2),"

","

","



","
[東]
小島太
","
西川光一
",,201506030311
1,8,15,"
ホスト
",牡4,57,"
吉田隼人
",1:10.9,,"

**

",2-2,37.5,7.3,5,518(-2),"

","

","
","
[東]
金成貴史
","
内田玄祥
",750,201506030312
2,7,14,"
ノッキングオン
",牡5,57,"
北村宏司
",1:10.9,クビ,"

**

",4-3,37.1,6.2,4,442(-2),"

","

","
","
[東]
高柳瑞樹
","
松尾正
",300,201506030312
3,1,1,"
エムエムアリオーン
",牡5,57,"
吉田豊
",1:11.7,5,"

**

",1-1,38.4,3.9,1,554(+24),"

","

","
","
[東]
古賀史生
","
ドリームジャパンホースレーシング
",190,201506030312
4,4,7,"
ダイチヴュルデ
",牡4,57,"
戸崎圭太
",1:11.8,3/4,"

**

",14-14,36.6,5.6,3,448(0),"

","

","



","
[東]
蛯名利弘
","
荻伏服部牧場
",110,201506030312
5,3,6,"
スズカオーショウ
",牡4,57,"
大野拓弥
",1:12.0,3/4,"

**

",4-4,38.1,4.1,2,512(0),"

","

","
","
[東]
柄崎孝
","
永井啓弍
",75,201506030312
